   time in kHS23-Yrs by BySite     ,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-09,2023-12-10,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-17,2023-12-18,Total
IT_CNAF,      0.000,      0.002,      0.007,      0.007,      0.001,      0.000,      0.000,      0.002,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.003,      0.001,      0.000,      0.002,      0.003,      0.002,      0.001,      0.003,      0.002,      0.002,      0.001,      0.000,      0.004,      0.007,      0.000,      0.000,      0.000,      0.050
NL_NIKHEF,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.005,      0.008,      0.000,      0.000,      0.000,      0.016
NL_SURFsara,      0.000,      0.000,      0.001,      0.002,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.007,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.012
UK_Bristol,      0.001,      0.002,      0.007,      0.011,      0.001,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.008,      0.002,      0.001,      0.002,      0.006,      0.001,      0.000,      0.001,      0.000,      0.001,      0.000,      0.000,      0.003,      0.005,      0.000,      0.000,      0.000,      0.055
UK_Brunel,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.010,      0.008,      0.001,      0.005,      0.005,      0.001,      0.000,      0.004,      0.003,      0.002,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.042
UK_Edinburgh,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002
UK_Imperial,      0.000,      0.001,      0.003,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.005,      0.005,      0.000,      0.008,      0.016,      0.001,      0.000,      0.000,      0.042
UK_Lancaster,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.005,      0.000,      0.000,      0.001,      0.003,      0.000,      0.000,      0.000,      0.011
UK_Liverpool,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003
UK_Manchester,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.005,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.023,      0.051,      0.000,      0.000,      0.000,      0.082
UK_Oxford,      0.000,      0.000,      0.001,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.004,      0.001,      0.000,      0.001,      0.002,      0.002,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.002,      0.002,      0.000,      0.000,      0.000,      0.020
UK_QMUL,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.008,      0.002,      0.024,      0.006,      0.001,      0.000,      0.000,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.046
UK_RAL-PPD,      0.000,      0.001,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003,      0.002,      0.006,      0.002,      0.001,      0.003,      0.002,      0.002,      0.008,      0.007,      0.003,      0.009,      0.003,      0.000,      0.016,      0.025,      0.000,      0.000,      0.000,      0.097
UK_RAL-Tier1,      0.003,      0.003,      0.001,      0.002,      0.000,      0.000,      0.001,      0.015,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.004,      0.001,      0.000,      0.002,      0.000,      0.002,      0.001,      0.010,      0.001,      0.001,      0.000,      0.000,      0.047,      0.034,      0.000,      0.000,      0.000,      0.128
UK_Sheffield,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001
US_BNL,      0.000,      0.001,      0.004,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.004,      0.001,      0.005,      0.006,      0.003,      0.006,      0.004,      0.001,      0.001,      0.003,      0.004,      0.001,      0.000,      0.000,      0.001,      0.002,      0.000,      0.000,      0.000,      0.049
US_Colorado,      0.000,      0.001,      0.004,      0.001,      0.001,      0.000,      0.001,      0.001,      0.000,      0.001,      0.000,      0.000,      0.001,      0.001,      0.003,      0.008,      0.001,      0.010,      0.008,      0.004,      0.001,      0.004,      0.005,      0.001,      0.001,      0.000,      0.005,      0.007,      0.000,      0.000,      0.000,      0.070
US_FNAL-FermiGrid,      0.026,      0.042,      0.128,      0.159,      0.163,      0.010,      0.005,      0.035,      0.007,      0.027,      0.001,      0.005,      0.015,      0.014,      0.130,      0.195,      0.028,      0.111,      0.170,      0.044,      0.066,      0.096,      0.086,      0.092,      0.038,      0.078,      0.224,      0.237,      0.026,      0.000,      0.004,      2.259
US_FNAL-T1,      0.000,      0.001,      0.001,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.000,      0.004,      0.000,      0.000,      0.000,      0.013
US_Michigan,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_NERSC,      0.010,      0.005,      0.070,      0.071,      0.066,      0.023,      0.000,      0.000,      0.010,      0.000,      0.000,      0.000,      0.000,      0.147,      0.247,      0.313,      0.154,      0.063,      0.047,      0.276,      0.116,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      1.618
US_NotreDame,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001
US_PuertoRico,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003
US_SU-ITS,      0.000,      0.001,      0.002,      0.000,      0.000,      0.000,      0.000,      0.007,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.013
US_Swan,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_UCSD,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003
US_UChicago,      0.000,      0.001,      0.005,      0.001,      0.000,      0.000,      0.000,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.003,      0.005,      0.000,      0.004,      0.001,      0.002,      0.001,      0.004,      0.002,      0.002,      0.000,      0.000,      0.008,      0.009,      0.000,      0.000,      0.000,      0.052
US_UConn-HPC,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.004
US_WSU,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
US_Wisconsin,      0.000,      0.002,      0.002,      0.001,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.009
undefined,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.001,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.005
Total,      0.047,      0.071,      0.261,      0.280,      0.239,      0.033,      0.007,      0.084,      0.021,      0.041,      0.001,      0.007,      0.070,      0.173,      0.513,      0.583,      0.198,      0.235,      0.262,      0.353,      0.205,      0.149,      0.136,      0.147,      0.058,      0.085,      0.365,      0.444,      0.029,      0.000,      0.004,      5.100
