   time in kHS23-Hrs by BySite     ,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,Total
US_Caltech,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_Colorado,    105.732,    318.855,    272.137,     13.256,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      6.156,    224.651,   940.788
US_FNAL-FermiGrid,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_FNAL-T1,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_FermiGrid,   8423.737,  11188.910,  30103.428,  43910.521,  20637.492,  19558.532,  28365.814,  26737.442,   7542.683,   6431.427,   9216.851,   6368.046,218484.883
US_MWT2,      8.500,      2.507,      0.116,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,    11.123
US_Michigan,      6.562,      7.299,     22.334,      0.244,      0.000,      0.370,      3.968,     15.149,     18.162,      2.464,      1.628,      1.026,    79.207
US_NERSC,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_Nebraska,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_NotreDame,     13.201,     32.357,     76.396,      0.387,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.242,      0.000,   122.584
US_Omaha,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_PuertoRico,     25.267,     22.572,     35.821,     30.857,     16.064,     31.920,     11.289,     25.064,      2.417,      2.646,      3.461,     11.906,   219.284
US_SU-ITS,    327.045,    201.357,    292.872,    136.187,    298.749,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,  1256.210
US_Swan,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_UCSD,     16.918,     50.388,     50.257,     20.940,      0.182,     41.920,     49.893,     37.016,     12.591,     17.857,     13.150,     20.228,   331.338
US_UChicago,     34.707,     18.808,     63.436,      9.388,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,   126.340
US_UConn-HPC,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_WSU,     51.705,     28.564,      0.000,      0.000,      0.000,      0.000,      0.591,     22.224,     19.982,      1.515,      8.033,      7.529,   140.145
US_Wisconsin,     71.364,     10.053,     32.348,      5.641,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     19.261,     73.254,   211.920
undefined,    139.206,    255.278,    713.305,    276.247,    153.997,    300.180,    380.619,    191.473,     41.999,    169.893,    144.578,    251.942,  3018.718
Total,  15604.210,  22912.445,  41496.754,  48077.238,  28476.216,  33655.561,  40914.286,  36837.258,  10380.581,   9286.835,  14904.296,  12627.947,315173.627
