   time in kHS23-Hrs by BySite     ,2023-11-18,2023-11-19,2023-11-20,2023-11-21,2023-11-22,2023-11-23,2023-11-24,2023-11-25,2023-11-26,2023-11-27,2023-11-28,2023-11-29,2023-11-30,2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-09,2023-12-10,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-17,2023-12-18,Total
UK_Brunel,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         68,         63,          1,         41,         41,          8,          3,         30,         29,         17,          5,          0,          3,          1,          0,          0,          0,        319
UK_Edinburgh,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          2,          4,          0,          0,          0,          1,          2,          0,          0,          0,         13
UK_Imperial,          0,          7,         23,          0,          0,          0,          0,          3,          0,          0,          0,          0,          0,          0,          0,          0,          1,          5,          0,          1,          0,          0,          0,         43,         45,          0,         72,        139,          8,          0,          0,        354
UK_Lancaster,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,         38,          2,          0,         12,         29,          0,          0,          0,         84
UK_Liverpool,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          4,          6,          1,          1,          0,          3,          0,          0,          0,         22
UK_Manchester,          3,          4,          2,          4,          0,          0,          0,          6,          0,          0,          0,          0,          7,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        203,        446,          1,          0,          0,        683
UK_Oxford,          1,          0,         11,         14,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         33,          7,          0,          9,         16,         16,          1,          3,          1,          5,          3,          0,         15,         21,          0,          0,          0,        166
UK_QMUL,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          7,          4,          0,          0,          0,          0,         12,          0,          0,          0,         33
UK_RAL-PPD,          2,         11,          3,          4,          0,          0,          0,          0,          0,          0,          0,          1,         16,          7,         31,         10,          3,         28,         19,          8,         70,         58,         25,         77,         27,          2,        140,        214,          4,          0,          0,        770
UK_RAL-Tier1,         25,         25,          6,         16,          0,          3,          5,        128,          1,          6,          0,          2,          4,          0,         32,         12,          0,         14,          0,         14,         12,         84,          4,          4,          2,          3,        414,        296,          0,          0,          0,       1123
UK_Sheffield,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_BNL,          0,          7,         36,          3,          0,          0,          0,          5,          0,          0,          0,          0,          3,          2,         10,         44,          1,         52,         32,          3,         11,         22,         38,          6,          1,          1,          8,         15,          0,          0,          0,        310
US_Colorado,          2,          6,         35,         12,          5,          0,          4,          7,          0,          8,          2,          0,          3,          9,         20,         64,          4,         88,         71,         34,         11,         31,         45,          9,          6,          0,         39,         59,          4,          0,          0,        593
US_FNAL-FermiGrid,        231,        365,       1119,       1388,       1423,         84,         44,        304,         57,        233,          6,         45,         90,        112,        896,       1665,        170,        971,       1472,        366,        582,        837,        751,        803,        323,        613,       1949,       2018,        223,          0,         31,      19186
US_FNAL-T1,          2,          4,          5,          6,          1,          0,          0,          4,          3,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,          2,          2,         10,          9,          0,          0,          0,         32,          0,          0,          0,         99
US_Michigan,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_NERSC,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_NotreDame,          0,          0,          2,          0,          0,          0,          0,          3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          7
US_PuertoRico,          0,          1,          3,          2,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          2,          0,          0,          1,          4,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,         24
US_SU-ITS,          0,         10,         15,          3,          1,          0,          0,         62,         14,          0,          1,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        113
US_Swan,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1
US_UCSD,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,          0,          0,          2,          1,          0,          1,          3,          0,          0,          0,         19
US_UChicago,          1,         10,         43,          8,          1,          0,          0,         16,          0,          0,          0,          0,          2,          3,         23,         43,          1,         33,         10,         12,          6,         32,         20,         15,          2,          1,         65,         65,          0,          0,          0,        425
US_UConn-HPC,          0,          0,          0,          0,          1,          0,          3,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,          0,          6,          4,          1,          0,          2,          0,          0,          0,         32
US_WSU,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1
US_Wisconsin,          0,         13,         20,          6,          0,          0,          1,          9,          0,          0,          0,          0,          8,          0,          2,          0,          0,          2,          2,          0,          0,          1,          2,          1,          0,          0,          0,          1,          0,          0,          0,         80
undefined,          1,          2,         10,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          5,          2,          5,          1,          0,          0,          6,          1,          0,          0,         42
Total,        324,        566,       1664,       1828,       1513,         89,         59,        732,         92,        357,         13,         55,        155,        150,       1292,       2166,        195,       1495,       1847,        606,        775,       1305,       1183,       1284,        503,        643,       3164,       3800,        248,          0,         31,      28149
